time	V(vout)
8.515476251029863e-03	-7.088081e-01
8.525241876029863e-03	-1.245362e+00
8.535007501029862e-03	-1.777237e+00
8.544773126029862e-03	-2.302430e+00
8.554538751029862e-03	-2.818963e+00
8.564304376029862e-03	-3.324888e+00
8.574070001029862e-03	-3.818298e+00
8.583835626029861e-03	-4.297334e+00
8.593601251029861e-03	-4.760187e+00
8.603366876029861e-03	-5.205113e+00
8.613132501029861e-03	-5.630435e+00
8.622898126029861e-03	-6.034546e+00
8.632663751029860e-03	-6.415925e+00
8.642429376029860e-03	-6.773133e+00
8.652195001029860e-03	-7.104824e+00
8.661960626029860e-03	-7.409748e+00
8.681491876029859e-03	-7.934811e+00
8.701023126029859e-03	-8.340426e+00
8.720554376029858e-03	-8.620523e+00
8.740085626029858e-03	-8.770875e+00
8.759616876029858e-03	-8.789260e+00
8.779148126029857e-03	-8.675442e+00
8.798679376029857e-03	-8.431174e+00
